NESO BMU ID,SETT UNIT ID,CRM UNIT CAT,BMRS FUEL TYPE,REG FUEL TYPE,REG TYPE,DGB FLG,GC OC2,latitude,longitude,UK_REPD_ID
AG-KFLX01,2__KFLEX001,Additional Supplier BMU,OTHER,OTHER,BMU,Generation,,,,
AG-KLIM01,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-KSTK01,2__KSTAT001,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-KSTK02,2__KSTAT002,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-KSTK03,2__KSTAT003,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-KSTK04,2__KSTAT004,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-KSTK05,2__KSTAT005,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-KSTK06,2__KSTAT006,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-KSTK07,2__KSTAT007,Primary BMU,OTHER,DIESEL,BMU,Generation,,,,
AG-KUKP01,2__KUKPR001,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-LFLX01,2__LFLEX001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-LLIM01,2__LANGE001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-LLIM02,2__LANGE002,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,51.018497,-3.157186,7152.0
AG-LLIM03,,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-LLT00B,V__BLEVE001,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-LLT01H,V__HLEVE001,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-LLT02L,V__LLEVE001,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-LSTK01,2__LSTAT001,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-LSTK02,2__LSTAT002,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-LSTK03,2__LSTAT003,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-LSTK04,2__LSTAT004,Primary BMU,OTHER,DIESEL,BMU,Generation,,,,
AG-LUKP01,2__LUKPR001,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-MCAM01,2__MCMRO002,Additional Supplier BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-MCET01,2__MCNDL002,Additional Supplier BMU,OTHER,GAS,BMU,Generation,,,,
AG-MECO01,,Primary BMU,WIND,WIND,BMU,Generation,,,,
AG-MFLX02,2__MFLEX002,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-MLIM01,,Primary BMU,OTHER,OTHER,BMU,Bi-Directional,,,,
AG-MLIM02,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-MLIM03,2__MANGE003,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-MSTK01,2__MSTAT001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-MSTK02,2__MSTAT002,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-MSTK03,2__MSTAT003,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-MSTK04,2__MSTAT004,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-MSTK05,2__MSTAT005,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-MSTK06,2__MSTAT006,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-MUPK01,,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-NEDF01,2__NLOND001,Primary BMU,OCGT,OCGT,BMU,Generation,,,,
AG-NEDF02,2__NLOND002,Primary BMU,OCGT,OCGT,BMU,Generation,,,,
AG-NEDF03,2__NLOND003,Primary BMU,OCGT,OCGT,BMU,Generation,,,,
